episode,step,reward
263,147746,-76.17614984364346
264,147931,-75.6101099570293
265,148072,-75.53487317995521
266,148273,-75.28279337977806
267,148420,-74.99961425878848
268,148703,-74.27991172659904
269,148845,-73.81147430865167
270,149913,-72.66076681394281
271,150469,-71.36682200969295
272,150989,-70.48791591971316
273,152589,-68.51561595834308
274,154189,-65.9604680282283
275,154857,-65.26500383581019
276,156457,-62.38953411112783
277,158057,-59.73293638142256
278,159657,-56.22299592952202
279,161257,-53.54317323808281
280,162857,-49.861631477326135
281,163460,-48.58175331602525
282,165060,-44.89939571673397
283,166380,-40.97637239819974
284,167944,-37.12671914345965
285,169464,-31.932011440124317
286,171001,-28.105002804068064
287,171532,-26.96212861831311
288,171878,-25.87986846478555
289,173284,-22.18552900509324
290,173546,-21.186407433613695
291,174856,-17.167529086535726
292,176203,-13.038517060564581
293,177596,-9.670483667239601
294,178102,-8.07881974598315
295,179359,-4.177195041102909
296,179758,-3.5917210194719713
297,181051,-0.23130500980282365
298,182320,2.884945660808047
299,183590,6.440206260381574
300,184830,9.98954082353821
301,185954,11.656535516320082
302,187224,15.108144512709291
303,188714,18.73457222917338
304,189851,22.34265462872749
305,190058,22.73415333069213
306,190339,22.986836735509954
307,190626,22.969415028926356
308,191088,24.021058539903287
309,191213,24.13803539719967
310,191373,25.297107958781627
311,191813,26.262679360935277
312,193089,29.397587778703258
313,193256,28.235131216643982
314,194384,31.7880715003302
315,195535,35.601779354505055
316,195874,35.48122577739771
317,197125,38.91263840726144
318,197405,39.86292961008878
319,198146,41.89185883302123
320,198309,41.682417920308815
321,198405,41.528854000500885
322,198886,42.56083855650208
323,199974,46.37894279366309
324,200352,47.16870516379191
325,200674,47.523270000404054
326,201851,51.22432309386006
327,202370,51.98581428535661
328,202623,52.14824731660207
329,202718,52.27563517939207
330,202932,50.681058745334184
331,203179,50.67412981808932
332,203764,50.31637025127718
333,204818,52.19753355669094
334,205045,51.63022098517009
335,205507,51.676951249661734
336,206522,55.31777312962868
337,207565,55.79943244641302
338,207789,55.215572396173975
339,207877,52.42241981687318
340,208223,53.653779580230456
341,208949,54.55368069045641
342,209103,54.231419770012465
343,209496,54.38001815462302
344,210521,58.59488519529848
345,211160,60.491771519399165
346,212182,62.55030528289334
347,212269,62.35700917581059
348,212345,61.606540550990466
349,212445,60.44138850200137
350,212700,60.492240250914186
351,212792,60.17575090559279
352,213863,63.62791302280665
353,214161,64.03564168541972
354,214691,64.97785933174066
355,215643,68.81422115368333
356,216674,72.71719722195132
357,217659,76.45799015539058
358,218662,80.16789619617069
359,219668,84.0016203511098
360,220491,86.360830730278
361,220870,87.35404238042521
362,221710,89.52072993434453
363,222448,91.11144032546652
364,223477,94.73416230794761
365,223948,95.80467880731419
366,224938,99.58776515502952
