episode,step,reward
599,664446,236.12
600,665322,273.92
601,666196,269.11
602,667085,292.34
603,667974,289.53
604,668885,296.01
605,669785,232.18
606,670686,228.26
607,671566,198.87
608,672451,208.22000000000003
609,673316,198.95
610,674169,255.32
611,675028,257.11
612,675870,224.94
613,676187,-69.5
614,677033,291.49
615,677909,231.99
616,678797,247.0
617,679668,242.91000000000003
618,680524,206.77999999999997
619,681399,264.9
620,682264,249.20999999999998
621,683159,286.46
622,684003,287.07
623,684847,257.73
624,685686,208.25
625,686569,299.21
626,687443,272.98
627,688315,210.02999999999997
628,689165,258.23
629,690004,225.16000000000003
630,690889,226.32999999999998
631,691752,268.96
632,692605,214.45
633,693464,237.29000000000002
634,694346,275.58
635,695190,252.07999999999998
636,696055,295.08
637,696935,283.21
638,697807,250.99
639,698656,204.57
640,699527,287.85
641,700390,249.36
642,701237,275.8
643,702076,256.42
644,702946,286.67
645,703818,261.34
646,704671,218.17000000000002
647,705527,255.25
648,706375,272.1
649,707272,292.08
650,708127,262.4
651,708994,224.51999999999998
652,709834,247.07
653,710668,239.62
654,711515,235.51
655,712361,241.29000000000002
656,713214,265.4
657,714084,280.5
658,714953,215.20999999999998
659,715813,258.17
660,716650,204.10000000000002
661,717508,265.46
662,718368,216.38
663,719218,244.98000000000002
664,720074,255.27999999999997
665,720911,301.73
666,721314,27.08
667,722190,220.82
668,723047,284.9
669,723874,222.29000000000002
670,724738,212.26999999999998
671,725623,281.24
672,726474,272.75
673,727308,218.73000000000002
674,728146,241.07
675,729000,221.11
676,729858,242.64
677,730716,266.64
678,731592,287.46
679,732480,293.26
680,733348,247.79000000000002
681,734230,254.06
682,735111,253.63
683,735975,236.52999999999997
684,736821,222.24
685,737679,254.24
686,738547,299.96
687,739399,211.49
688,740252,231.39
689,741113,296.82
690,741948,245.66000000000003
691,742805,234.02999999999997
692,743660,249.82999999999998
693,744548,270.08
694,745409,278.74
695,746255,294.2
696,747095,290.14
697,747903,256.75
698,748765,295.62
699,749626,213.43
700,750487,293.67
701,751349,239.16000000000003
702,752207,233.79000000000002
703,753044,285.42
704,753921,301.58
705,754773,266.06
706,755648,213.55
707,756505,287.5
708,757384,276.39
709,758213,253.77999999999997
710,759068,209.70999999999998
711,759927,283.86
712,760769,256.2
713,761626,216.63
714,762462,261.25
715,763310,265.02
716,764165,268.43
717,765020,278.35
718,765899,299.46
719,766730,237.07999999999998
720,767589,283.26
721,768429,278.51
722,769284,286.49
723,770131,230.74
724,770950,254.98000000000002
725,771797,279.04
726,772644,283.43
727,773498,266.04
728,774359,285.6
729,775201,295.1
730,776073,272.47
731,776931,299.85
732,777775,231.68
733,778594,227.43
