episode,step,reward
579,646625,297.75
580,647527,296.66
581,648416,296.10
582,649287,295.80
583,650194,296.83
584,651074,296.50
585,651979,296.89
586,652836,300.11
587,653728,297.02
588,654613,297.52
589,655536,295.85
590,656473,295.92
591,657358,296.96
592,658262,297.80
593,659132,298.29
594,660018,298.22
595,660898,297.95
596,661781,297.56
597,662684,296.89
598,663571,299.91
599,664446,297.12
600,665322,298.92
601,666196,298.11
602,667085,298.34
603,667974,296.53
604,668885,297.01
605,669785,297.18
606,670686,298.26
607,671566,296.87
608,672451,299.22
609,673316,298.95
610,674169,297.32
611,675028,297.11
612,675870,298.94
613,676187,-18.50
614,677033,296.49
615,677909,297.99
616,678797,298.00
617,679668,297.91
618,680524,296.78
619,681399,295.90
620,682264,297.21
621,683159,298.46
622,684003,299.07
623,684847,298.73
624,685686,299.25
625,686569,299.21
626,687443,298.98
627,688315,301.03
628,689165,301.23
629,690004,301.16
630,690889,298.33
631,691752,297.96
632,692605,298.45
633,693464,300.29
634,694346,295.58
635,695190,300.08
636,696055,298.08
637,696935,298.21
638,697807,299.99
639,698656,300.57
640,699527,298.85
641,700390,299.36
642,701237,300.80
643,702076,300.42
644,702946,300.67
645,703818,301.34
646,704671,303.17
647,705527,301.25
648,706375,301.10
649,707272,299.08
650,708127,301.40
651,708994,301.52
652,709834,301.07
653,710668,304.62
654,711515,301.51
655,712361,301.29
656,713214,301.40
657,714084,301.50
658,714953,302.21
659,715813,302.17
660,716650,303.10
661,717508,302.46
662,718368,302.38
663,719218,302.98
664,720074,301.28
665,720911,301.73
666,721314,32.08
667,722190,301.82
668,723047,301.90
669,723874,303.29
670,724738,302.27
671,725623,300.24
672,726474,300.75
673,727308,302.73
674,728146,302.07
675,729000,302.11
676,729858,302.64
677,730716,303.64
678,731592,302.46
679,732480,301.26
680,733348,299.79
681,734230,301.06
682,735111,301.63
683,735975,301.53
684,736821,305.24
685,737679,302.24
686,738547,300.96
687,739399,301.49
688,740252,300.39
689,741113,302.82
690,741948,302.66
691,742805,302.03
692,743660,302.83
693,744548,302.08
694,745409,303.74
695,746255,304.20
696,747095,305.14
697,747903,305.75
698,748765,301.62
699,749626,302.43
700,750487,303.67
701,751349,304.16
702,752207,302.79
703,753044,301.42
704,753921,303.58
705,754773,303.06
706,755648,300.55
707,756505,302.50
708,757384,302.39
709,758213,301.78
710,759068,303.71
711,759927,302.86
712,760769,304.20
713,761626,303.63
714,762462,305.25
715,763310,305.02
716,764165,304.43
717,765020,303.35
718,765899,302.46
719,766730,305.08
720,767589,303.26
721,768429,303.51
722,769284,303.49
723,770131,302.74
724,770950,304.98
725,771797,305.04
726,772644,303.43
727,773498,303.04
728,774359,304.60
729,775201,306.10
730,776073,302.47
731,776931,304.85
732,777775,304.68
733,778594,304.43
734,779420,304.28
735,780240,304.95
736,781070,305.48
737,781887,304.72
738,782729,305.59
739,783560,302.64
740,784391,304.36
741,785221,306.12
742,786048,305.25
743,786900,302.96
744,787736,305.10
745,788543,305.70
746,789357,303.83
747,790168,304.71
748,791038,304.40
749,791890,303.49
750,792712,304.65
751,793539,305.80
752,794376,304.98
753,795215,302.65
754,796075,303.37
